store, date, brand, model, size, price, URL
"JB", "15.2.18", "sony", "x900e", 65, 2500, "https://www.jbhifi.com.au/tv-home-entertainment/Ultra-HD-Televisions/?p=1&s=releaseDate&sd=2&fc=brand%3A%3ASONY%3B&mf=brand&fm=false"
"JB", "15.2.18", "sony", "x930e", 65, 2800, "https://www.jbhifi.com.au/tv-home-entertainment/Ultra-HD-Televisions/?p=1&s=releaseDate&sd=2&fc=brand%3A%3ASONY%3B&mf=brand&fm=false"
"JB", "15.2.18", "sony", "x900e", 55, 1600, "https://www.jbhifi.com.au/tv-home-entertainment/Ultra-HD-Televisions/?p=1&s=releaseDate&sd=2&fc=brand%3A%3ASONY%3B&mf=brand&fm=false"
"BL", "10.5.18", "sony", "x900f", 55, 2800, "https://www.binglee.com.au/sony-kd55x9000f-55-4k-smart-led-tv"
"BL", "10.5.18", "sony", "x900f", 65, 4000, "https://www.binglee.com.au/sony-kd65x9000f-65-4k-smart-led-tv"
"BL", "10.5.18", "sony", "x900f", 65, 3500, "13% off sale for 13 hours"
"HN", "16.5.18", "sony", "x900f", 55, 2600, "https://www.harveynorman.com.au/sony-55-inch-x9000f-4k-ultra-hd-led-lcd-smart-tv.html"
"BL", "10.5.18", "sony", "x900f", 65, 3800, "Bonus 10% gift card, Net $3420"
"VP", "24.5.18", "sony", "x900f", 65, 3150, "ebay 20% off sale; https://www.ebay.com.au/itm/Sony-Bravia-65-KD65X9000F-Ultra-HD-Android-TV/332661745875?epid=27019379315&hash=item4d742f68d3:g:smAAAOSw8StbBgjq"
"VP", "24.5.18", "sony", "x900f", 55, 2200, "ebay 20% off sale; https://www.ebay.com.au/itm/Sony-Bravia-55-KD55X9000F-Ultra-HD-Android-TV/323270317891?epid=20019383744&hash=item4b44699743:g:QSAAAOSwJotbBgjn"
"Sony", "24.5.18", "sony", "x900f", 65, 4100,"https://www.sony.com.au/electronics/televisions/x9000f-series RRP"
"Sony", "24.5.18", "sony", "x900f", 55, 2800, "https://www.sony.com.au/electronics/televisions/x9000f-series RRP"
